Identificador de ruta,Sentido,Destino,Identificador de forma,Nombre de la ruta,Inicio del servicio,Final del servicio,Tiempo medio entre salidas [min],Duración media del servicio [min],Número de paradas,Velocidad media [km/h]
84,1,PRADO           ,8412,C4,07:21:00,23:30:00,13.094594594594593,14.520000000000001,7.0,21.133589543544645
87,0,NERVION            ,8711,B3,07:05:00,23:15:00,38.8,19.115384615384613,18.0,15.804719135198873
87,1,SANTA CLARA,8712,B3,07:23:00,23:33:00,38.8,19.653846153846157,17.0,15.50826093147264
100,0,PLAZA DE ARMAS,10011,EA,00:25:00,22:40:00,17.565789473684212,45.89610389610389,11.0,21.300856590448344
100,1,AEROPUERTO       ,10012,EA,00:05:00,22:55:00,18.513513513513512,52.57333333333334,11.0,16.0654428422703
101,0,PRADO           ,10111,A1,00:30:00,02:30:00,60.0,30.0,28.0,12.244529793766025
101,1,PINO MONTANO,10112,A1,00:00:00,02:00:00,60.0,30.0,19.0,20.217182991154427
102,0,PRADO           ,10211,A2,00:32:00,02:32:00,60.0,27.999999999999996,20.0,19.58135412084641
102,1,SAN JERONIMO,10212,A2,00:00:00,02:00:00,60.0,32.0,27.0,15.754881008356564
103,0,PRADO           ,10311,A3,00:35:00,02:35:00,60.0,25.0,16.0,29.698078833244352
103,1,SEVILLA ESTE,10312,A3,00:00:00,02:00:00,60.0,35.0,35.0,13.613327172111427
104,0,PRADO           ,10411,A4,00:19:00,02:19:00,60.0,40.99999999999999,32.0,7.513524646615532
104,1,SANTA AURELIA,10412,A4,00:00:00,02:00:00,60.0,18.999999999999996,13.0,39.315834296652845
105,0,PRADO           ,10511,A5,00:35:00,02:35:00,60.0,25.0,15.0,19.67608029422936
105,1,POLIGONO SUR,10512,A5,00:00:00,02:00:00,60.0,35.0,20.0,7.458197245479442
106,0,PRADO           ,10611,A6,00:23:00,02:23:00,60.0,37.0,24.0,14.353064389351337
106,1,BELLAVISTA      ,10612,A6,00:00:00,02:00:00,60.0,23.0,24.0,26.678655995323485
107,0,PRADO           ,10711,A7,00:30:00,02:30:00,60.0,30.0,10.0,15.263742211844283
107,1,PLAZA DUQUE,10712,A7,00:00:00,02:00:00,60.0,30.0,21.0,8.027968516751137
108,0,EL GORDILLO       ,10811,C6A,08:00:00,22:35:00,79.54545454545455,30.0,12.0,31.247613754216108
108,1,SAN JERONIMO,10812,C6A,07:10:00,23:05:00,79.58333333333333,49.23076923076923,26.0,10.715177930408647
110,0,PRADO           ,11011,A8,00:35:00,02:35:00,60.0,25.0,20.0,28.011806823914835
110,1,PARQUE ALCOSA,11012,A8,00:00:00,02:00:00,60.0,35.0,32.0,15.306661581901102
119,0,SAN BERNARDO.,11911,B4,07:10:00,22:47:00,26.77142857142857,49.861111111111114,37.0,20.386304240552782
119,1,TORREBLANCA       ,11912,B4,07:23:00,22:58:00,27.5,61.542857142857144,44.82857142857143,13.567263807758543
125,0,PRADO           ,12511,38A,07:00:00,23:00:00,87.27272727272727,30.0,14.0,17.03866117169894
125,1,PITAMO P.OLAVIDE,12512,38A,07:30:00,22:30:00,90.0,30.0,13.0,17.245813967806274
